,Unnamed: 0,address,categories,city,country,latitude,longitude,name,postalCode,province,websites
13,13,1500 E Main St,Fast Food Restaurants,Eastland,US,32.401088,-98.790162,Golden Chick,76448,TX,"http://locations.goldenchick.com/tx/eastland/1202,http://goldenchick.com"
121,121,1232 Providence Blvd,Fast Food Restaurant,Deltona,US,28.8829,-81.2413,KFC,32725,FL,"http://www.kfc.com,http://kfc.com"
166,166,3051 W Apache Trl,Fast Food,Apache Junction,US,33.415079999999996,-111.57883999999999,KFC,85120,AZ,"http://www.kfc.com,http://www.kfc.com/"
218,218,2305 N Saint Marys St,American Restaurant and Fast Food Restaurant,Beeville,US,28.421414000000002,-97.756843,Golden Chick,78102,TX,"http://locations.goldenchick.com/tx/beeville/1001,http://goldenchick.com"
221,221,96 Cannan Dr,Fast Food Restaurants,Angleton,US,29.18105,-95.44666,Chicken Express,77515,TX,http://www.chickene.com
363,363,1051 W Maple Ave,Fast Food Restaurants,Eunice,US,30.48697,-92.42648,Krispy Krunchy Chicken,70535,LA,"http://www.krispykrunchy.com,http://www.krispykrunchy.com/?utm_source=yext&utm_medium=listing&utm_campaign=1700"
443,443,3820 Lamar Ave,Fast Food Restaurants,Paris,US,33.66189,-95.506573,Chicken Express,75462,TX,"http://www.chickene.com,http://api.citygridmedia.com/content/places/v2/click?q=9YKflVKbY9NauPJdMy0B1gS1IhB4xv4EWw0zDoT-UWc_izWF3zs5PKGdfOHubWrvM0QwDCYwbOH2fdLi0dK5xArULcksCCbfR-WWAz9xD1AmGVAQZIom4U3n5R4DuRC8WJCtvJcNItEKoCSfzwapuGnmwGnHDpEGYXGjnN4u8zXqkiimSHFf4_dbqGRbVgNJCZ-uhqCiqLo4r4RGY7PpJOxxZRUsNBYI1zsEEI6q4bwva89KDNOMXtOVeQexFQJi3UnIHm4laqpkqlIkPGzozL3d0a1ntB_mkfWwH2bqAyNQG58lnDNsTYCSEu_7Lf96UOAH0ZwslvKyLQawHy47yPXMJIbyAHhpeBWM4ndKhLMnFkVIvDhHd6usC8J3xHjxKciiAxHU-j1LMuR6ES4x_IspH5LrhZwHt4JSNlmHRWZuMdod9nbyJv7T6EZvU-A5NOpa5jbkS7lFA7tmjqF3B20lZWvlboFAjVWlAyyrNNbz8tnaVcxV9ClA25-tyVUajbfdnMTPESPSHr34KZ0o2i5EZuLleltk&placement=listing_profile&cs_user=unknown&cs_session=12e38b34970910d467cae97dca6a629b54e7f8a2"
444,444,5100 Davis Blvd,"Fried Chicken Joint, Fast Food Restaurant, and Food",North Richland Hills,US,32.840958,-97.21383,Chicken Express,76180,TX,http://chickene.com
445,445,904 W Eldorado Pkwy,Fast Food Restaurant,Little Elm,US,33.154826,-96.946861,Chicken Express,75068,TX,http://www.chickene.com
446,446,4704 4th St,Fast Food Restaurant,Lubbock,US,33.59233,-101.914511,Chicken Express,79416,TX,http://www.chickene.com
