name,country,latitude,longitude,Street Adress,price_level,rating,user_ratings_total,province,state
Sonic Drive-In,US,29.814697,-90.814742,"800 N Canal Blvd, Thibodaux, LA 70301",1.0,4.3,479.0, Thibodaux,LA
Taco Bell,US,35.803788,-83.58055300000002,"206 Wears Valley Rd, Pigeon Forge, TN 37863",1.0,3.3,1029.0, Pigeon Forge,TN
Arby's,US,35.782339,-83.551408,"3652 Parkway, Pigeon Forge, TN 37863",1.0,3.9,1620.0, Pigeon Forge,TN
Steak 'n Shake,US,33.562738,-84.321143,"2118 Mt Zion Parkway, Morrow, GA 30260",1.0,3.4,5287.0, Morrow,GA
Wendy's,US,42.368823,-83.138251,"9768 Grand River Ave, Detroit, MI 48204",1.0,3.6,1560.0, Detroit,MI
Burger King,US,42.416819,-83.180444,"13600 W McNichols Rd, Detroit, MI 48235",1.0,3.1,831.0, Detroit,MI
Chipotle Mexican Grill,US,33.205721999999994,-117.288645,"4111 Oceanside Blvd, Oceanside, CA 92056",1.0,3.9,249.0, Oceanside,CA
Dairy Queen,US,32.36602,-96.103364,"208 W Mason St, Mabank, TX 75147",1.0,3.8,404.0, Mabank,TX
Dairy Queen,US,29.570079,-95.568166,"5801 Highway 6, Missouri City, TX 77459",2.0,4.0,586.0, Missouri City,TX
Carl's Jr.,US,34.133291,-117.924566,"1190 W Foothill Blvd, Azusa, CA 91702",1.0,3.6,381.0, Azusa,CA
Checkers,US,33.026571999999994,-80.169733,"601 N Main St, Summerville, SC 29483",1.0,3.8,2143.0, Summerville,SC
Rally's,US,41.627298,-83.502436,"1927 Woodville Road, Oregon, OH 43616",1.0,3.7,977.0, Oregon,OH
Rally's,US,32.282328,-90.11677,"3105 Highway 80 E, Pearl, MS 39208",1.0,4.1,601.0, Pearl,MS
Checkers,US,42.91147,-85.56812,"2860 E Paris Ave SE, Grand Rapids, MI 49512",1.0,3.0,813.0, Grand Rapids,MI
Rally's,US,39.523704,-85.743659,"2424 E State Road 44, Shelbyville, IN 46176",1.0,3.8,411.0, Shelbyville,IN
Checkers,US,40.685506,-73.914457,"1611 Broadway, Brooklyn, NY 11207",1.0,3.8,481.0, Brooklyn,NY
Checkers,US,33.475292,-81.99594599999998,"1720 Walton Way, Augusta, GA 30904",1.0,3.3,689.0, Augusta,GA
Checkers,US,42.400037,-83.21574,"17620 Grand River Ave, Detroit, MI 48227",1.0,3.8,1331.0, Detroit,MI
McDonald's,US,42.79792,-73.924364,"1224 State St, Schenectady, NY 12304",1.0,3.4,1441.0, Schenectady,NY
McDonald's,US,41.967079,-73.98858299999998,"1232 Ulster Ave, Kingston, NY 12401",1.0,3.7,708.0, Kingston,NY
McDonald's,US,40.757558,-73.98167099999998,"1188 Avenue of The Americas, New York, NY 10036",2.0,4.1,1005.0, New York,NY
McDonald's,US,40.709646,-73.591453,"1050 Front St, Uniondale, NY 11553",2.0,4.1,218.0, Uniondale,NY
McDonald's,US,40.780233,-73.55934,"105 Jericho Tpke, Jericho, NY 11753",1.0,3.8,513.0, Jericho,NY
McDonald's,US,42.716812,-73.80931899999999,"106 Wolf Rd, Albany, NY 12205",2.0,4.0,118.0, Albany,NY
McDonald's,US,42.741061,-73.913673,"103 Brookview Dr, Schenectady, NY 12303",1.0,3.0,511.0, Schenectady,NY
McDonald's,US,42.857899,-78.825089,"1028 Mckinley Pkwy, Buffalo, NY 14220",2.0,4.2,124.0, Buffalo,NY
McDonald's,US,43.021019,-78.878167,"10 Main St, Tonawanda, NY 14150",2.0,4.1,867.0, Tonawanda,NY
McDonald's,US,42.503903,-71.13274799999998,"300 Mishawum Rd, Woburn, MA 1801",1.0,4.3,192.0, Woburn,MA
McDonald's,US,42.125526,-71.64591300000002,"1190 Providence Rd, Whitinsville, MA 1588",1.0,3.6,636.0, Whitinsville,MA
McDonald's,US,42.557448,-71.181499,"212 Main St, Wilmington, MA 1887",1.0,3.7,405.0, Wilmington,MA
McDonald's,US,42.055826,-71.873999,"44 E Main St, Webster, MA 1570",1.0,3.3,1023.0, Webster,MA
McDonald's,US,42.376247,-71.241667,"789 Main St, Waltham, MA 2451",1.0,3.7,1115.0, Waltham,MA
McDonald's,US,42.650503,-71.662674,"20 Main St, Townsend, MA 1469",1.0,4.3,339.0, Townsend,MA
McDonald's,US,42.157222,-71.243549,"595 Main St, Walpole, MA 2081",1.0,3.5,370.0, Walpole,MA
McDonald's,US,41.88896,-71.120789,"282 Winthrop St, Taunton, MA 2780",1.0,3.8,280.0, Taunton,MA
McDonald's,US,42.12193,-72.584242,"660 Liberty St, Springfield, MA 1104",1.0,3.8,829.0, Springfield,MA
McDonald's,US,42.111552,-72.603359,"2392 Main St, Springfield, MA 1107",1.0,4.1,487.0, Springfield,MA
McDonald's,US,42.095053,-72.512539,"1402 Allen St, Springfield, MA 1118",1.0,3.5,841.0, Springfield,MA
McDonald's,US,42.142989,-72.48923,"1610 Boston Rd, Springfield, MA 1129",2.0,4.0,612.0, Springfield,MA
McDonald's,US,42.23341,-72.012516,"59 W Main St, Spencer, MA 1562",1.0,3.5,846.0, Spencer,MA
Taco Bell,US,33.007329,-96.554127,"1601 W Kirby St, Wylie, TX 75098",1.0,3.5,680.0, Wylie,TX
Taco Bell,US,32.274786,-95.306757,"7425 S Broadway Ave, Tyler, TX 75703",1.0,4.2,953.0, Tyler,TX
Burger King,US,38.964944,-92.336364,"100 Business Loop 70 E, Columbia, MO 65203",1.0,3.2,696.0, Columbia,MO
Wendy's,US,32.070343,-81.10103199999998,"615 Martin Luther King Jr Blvd, Savannah, GA 31401",1.0,3.9,1680.0, Savannah,GA
Wendy's,US,33.95111,-84.518962,"1123 Roswell Rd, Marietta, GA 30062",1.0,3.2,951.0, Marietta,GA
Wendy's,US,33.446887,-84.138326,"273 Keys Ferry St, McDonough, GA 30253",1.0,3.1,1076.0, McDonough,GA
Wendy's,US,33.792748,-83.731443,"1117 W Spring St, Monroe, GA 30655",1.0,3.5,493.0, Monroe,GA
