Count of name,Column Labels,,,,,,,,,
Row Labels,Outside Capital City,Within Capital City,Grand Total,,,,,,,
 Aberdeen,5,,5,,,,,,,
 Abilene,6,,6,,,,,,,
 Abingdon,2,,2,,,,,,,
 Acton,1,,1,,,,,,,
 Acworth,4,,4,,,,,,,
 Ada,3,,3,,,,,,,
 Adairsville,2,,2,,,,,,,
 Adel,1,,1,,,,,,,
 Adrian,2,,2,,,,,,,
 Agoura Hills,1,,1,,,,,,,
 Aiken,3,,3,,,,,,,
 Akron,12,,12,,,,,,,
 Alameda,2,,2,,,,,,,
 Alamogordo,2,,2,,,,,,,
 Albany,20,,20,,,,,,,
 Albert Lea,2,,2,,,,,,,
 Albertville,1,,1,,,,,,,
 Albion,2,,2,,,,,,,
 Albuquerque,26,,26,,,,,,,
 Alden,1,,1,,,,,,,
 Aledo,1,,1,,,,,,,
 Alexandria,9,,9,,,,,,,
 Algonquin,1,,1,,,,,,,
 Alhambra,5,,5,,,,,,,
 Aliquippa,1,,1,,,,,,,
 Allen,4,,4,,,,,,,
 Allen Park,1,,1,,,,,,,
 Allendale,4,,4,,,,,,,
 Allentown,5,,5,,,,,,,
 Alliance,4,,4,,,,,,,
 Allison Park,1,,1,,,,,,,
 Allston,1,,1,,,,,,,
 Alma,1,,1,,,,,,,
 Alpena,1,,1,,,,,,,
 Alpharetta,3,,3,,,,,,,
 Alpine,1,,1,,,,,,,
 Altadena,3,,3,,,,,,,
 Altamonte Springs,1,,1,,,,,,,
 Alto,1,,1,,,,,,,
 Altoona,2,,2,,,,,,,
 Alvin,2,,2,,,,,,,
 Amarillo,2,,2,,,,,,,
 Amelia,2,,2,,,,,,,
 American Canyon,1,,1,,,,,,,
 American Fork,1,,1,,,,,,,
 Americus,2,,2,,,,,,,
 Ames,6,,6,,,,,,,
 Amite,1,,1,,,,,,,
 Amityville,1,,1,,,,,,,
 Amory,1,,1,,,,,,,
 Anaheim,11,,11,,,,,,,
 Anchorage,6,,6,,,,,,,
 Anderson,9,,9,,,,,,,
 Andover,3,,3,,,,,,,
 Angola,1,,1,,,,,,,
 Ankeny,6,,6,,,,,,,
 Ann Arbor,2,,2,,,,,,,
 Annandale,1,,1,,,,,,,
 Anoka,1,,1,,,,,,,
 Antelope,1,,1,,,,,,,
 Antioch,4,,4,,,,,,,
 Apache Junction,2,,2,,,,,,,
 Apex,1,,1,,,,,,,
 Apopka,3,,3,,,,,,,
 Apple Valley,1,,1,,,,,,,
 Appleton,2,,2,,,,,,,
 Arapahoe,1,,1,,,,,,,
 Arcade,1,,1,,,,,,,
 Arcadia,5,,5,,,,,,,
 Arcata,1,,1,,,,,,,
 Ardmore,3,,3,,,,,,,
 Arkadelphia,1,,1,,,,,,,
 Arkansas City,1,,1,,,,,,,
 Arlington,16,,16,,,,,,,
 Arnold,4,,4,,,,,,,
 Arroyo Grande,1,,1,,,,,,,
 Artesia,2,,2,,,,,,,
 Arvada,6,,6,,,,,,,
 Asheboro,4,,4,,,,,,,
 Asheville,3,,3,,,,,,,
 Ashland,7,,7,,,,,,,
 Astoria,3,,3,,,,,,,
 Atascadero,2,,2,,,,,,,
 Athens,11,,11,,,,,,,
 Atlanta,2,33,35,,,,,,,
 Atlantic Beach,1,,1,,,,,,,
 Auburn,11,,11,,,,,,,
 Auburn Hills,2,,2,,,,,,,
 Auburndale,3,,3,,,,,,,
 Augusta,16,4,20,,,,,,,
 Aurora,16,,16,,,,,,,
 Austell,1,,1,,,,,,,
 Austin,2,26,28,,,,,,,
 Avon,1,,1,,,,,,,
 Avon Lake,1,,1,,,,,,,
 Avon Park,1,,1,,,,,,,
 Avondale,10,,10,,,,,,,
 Aynor,2,,2,,,,,,,
 Azle,1,,1,,,,,,,
 Aztec,1,,1,,,,,,,
